"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0610010,Ц,ПВ,ПМ-пром,август 2025,не позднее 29.08.2025,,12082025,061001012082025,12.09.2025,01.09.2025,17.09.2025,01.09.2025,09.09.2025,11.09.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,сентябрь 2025,не позднее 26.09.2025,,12092025,061001012092025,14.10.2025,01.10.2025,17.10.2025,01.10.2025,08.10.2025,10.10.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,октябрь 2025,не позднее  29.10.2025,,12102025,061001012102025,17.11.2025,01.11.2025,20.11.2025,01.11.2025,12.11.2025,14.11.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,ноябрь 2025,не позднее 28.11.2025,,12112025,061001012112025,12.12.2025,01.12.2025,17.12.2025,01.12.2025,09.12.2025,11.12.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,декабрь 2025,26.12.2025,,12122025,061001012122025,22.01.2026,09.01.2026,27.01.2026,09.01.2026,19.01.2026,21.01.2026,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610013,Ц,ПВ,П-1,январь 2025,30.01.2025,,12012025,061001312012025,14.02.2025,03.02.2025,18.02.2025,03.02.2025,11.02.2025,13.02.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,февраль 2025,27.02.2025,,12022025,061001312022025,14.03.2025,03.03.2025,18.03.2025,03.03.2025,11.03.2025,13.03.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,март 2025,45744,,12032025,061001312032025,14.04.2025,01.04.2025,16.04.2025,01.04.2025,09.04.2025,11.04.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,апрель 2025,29.04.2025,,12042025,061001312042025,20.05.2025,05.05.2025,22.05.2025,05.05.2025,14.05.2025,16.05.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,май 2025,29.05.2025,,12052025,061001312052025,17.06.2025,02.06.2025,19.06.2025,02.06.2025,09.06.2025,11.06.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,июнь 2025,27.06.2025,,12062025,061001312062025,14.07.2025,01.07.2025,16.07.2025,01.07.2025,09.07.2025,11.07.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,июль 2025,30.07.2025,,12072025,061001312072025,14.08.2025,01.08.2025,18.08.2025,01.08.2025,11.08.2025,13.08.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,август 2025,45897,,12082025,061001312082025,12.09.2025,01.09.2025,16.09.2025,01.09.2025,09.09.2025,11.09.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,сентябрь 2025,29.09.2025,,12092025,061001312092025,14.10.2025,01.10.2025,16.10.2025,01.10.2025,08.10.2025,10.10.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,октябрь 2025,30.10.2025,,12102025,061001312102025,17.11.2025,01.11.2025,19.11.2025,01.11.2025,12.11.2025,14.11.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,ноябрь 2025,27.11.2025,,12112025,061001312112025,12.12.2025,01.12.2025,16.12.2025,01.12.2025,09.12.2025,11.12.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610013,Ц,ПВ,П-1,декабрь 2025,29.12.2025,,12122025,061001312122025,22.01.2026,1/9/2026,26.01.2026,09.01.2025,19.01.2026,21.01.2026,"Григорьянц Алена Николаевна, т. 506, к. 426","Пузакова Марина Владимировна, т. 315, к. 307",
0610019,С,ПВ,1-ДАП,январь 2025,не позднее 12.12.2024,,12012025,061001912012025,10.01.2025,01.01.2025,22.01.2025,1/9/2025,-,-,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,февраль 2025,#N/A,#N/A,12022025,061001912022025,10.02.2025,01.02.2025,14.02.2025,01.02.2025,05.02.2025,07.02.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,март 2025,#N/A,#N/A,12032025,061001912032025,10.03.2025,01.03.2025,14.03.2025,01.03.2025,05.03.2025,07.03.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,апрель 2025,#N/A,#N/A,12042025,061001912042025,10.04.2025,01.04.2025,14.04.2025,01.04.2025,07.04.2025,09.04.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,май 2025,#N/A,#N/A,12052025,061001912052025,12.05.2025,01.05.2025,20.05.2025,01.05.2025,05.05.2025,07.05.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,июнь 2025,#N/A,#N/A,12062025,061001912062025,10.06.2025,01.06.2025,17.06.2025,01.06.2025,04.06.2025,06.06.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,июль 2025,#N/A,#N/A,12072025,061001912072025,10.07.2025,01.07.2025,14.07.2025,01.07.2025,07.07.2025,09.07.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,август 2025,#N/A,#N/A,12082025,061001912082025,11.08.2025,01.08.2025,14.08.2025,01.08.2025,06.08.2025,08.08.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,сентябрь 2025,#N/A,#N/A,12092025,061001912092025,10.09.2025,01.09.2025,12.09.2025,01.09.2025,08.09.2025,09.09.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,октябрь 2025,#N/A,#N/A,12102025,061001912102025,10.10.2025,01.10.2025,14.10.2025,01.10.2025,07.10.2025,09.10.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,ноябрь 2025,#N/A,#N/A,12112025,061001912112025,10.11.2025,01.11.2025,17.11.2025,01.11.2025,05.11.2025,07.11.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610019,С,ПВ,1-ДАП,декабрь 2025,#N/A,#N/A,12122025,061001912122025,10.12.2025,01.12.2025,12.12.2025,01.12.2025,08.12.2025,09.12.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0610035,Ц,ПВ,1-натура-БМ,2024,не позднее 28.12.2024,"с 1-го официального 
рабочего дня января 
по 10 февраля
",01012024,061003501012024,10.02.2025,09.01.2025,07.03.2025,09.01.2025,05.02.2025,07.02.2025,"Григорьянц Алена Николаевна, т. 506, к. 426","Трушаева Наталья Ивановна, т. 320, к. 307",
0610036,С,ПВ,23-Н,2024,не позднее 28.12.2024,"с 1-го рабочего дня января по 1 февраля
после отчетного периода",01012024,061003601012024,01.02.2025,09.01.2025,31.03.2025,09.01.2025,29.01.2025,31.01.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Усова Яна Сергеевна, т. 321, к. 307",
0610054,Ц,ПВ,Приложение №2,январь 2025,не позднее 29.01.2025,,12012025,061005412012025,14.02.2025,03.02.2025,18.02.2025,03.02.2025,11.02.2025,13.02.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,февраль 2025,не позднее 27.02.2025,,12022025,061005412022025,14.03.2025,03.03.2025,18.03.2025,03.03.2025,11.03.2025,13.03.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,март 2025,не позднее 28.03.2025,,12032025,061005412032025,14.04.2025,01.04.2025,16.04.2025,01.04.2025,10.04.2025,11.04.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,апрель 2025,не позднее 25.04.2025,,12042025,061005412042025,20.05.2025,05.05.2025,22.05.2025,05.05.2025,14.05.2025,16.05.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,май 2025,не позднее 28.05.2025 ,,12052025,061005412052025,17.06.2025,02.06.2025,19.06.2025,02.06.2025,09.06.2025,11.06.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,июнь 2025,не позднее 27.06.2025,,12062025,061005412062025,14.07.2025,01.07.2024,16.07.2025,01.07.2024,09.07.2025,11.07.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,июль 2025,не позднее 29.07.2025,,12072025,061005412072025,14.08.2025,01.08.2025,18.08.2025,01.08.2025,11.08.2025,13.08.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,август 2025,не позднее 29.08.2025,,12082025,061005412082025,12.09.2025,01.09.2025,16.09.2025,01.09.2025,09.09.2025,11.09.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,сентябрь 2025,не позднее 26.09.2025,,12092025,061005412092025,14.10.2025,01.10.2025,16.10.2025,01.10.2025,08.10.2025,10.10.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,октябрь 2025,не позднее 28.10.2025,,12102025,061005412102025,17.11.2025,01.11.2025,19.11.2025,01.11.2025,12.11.2025,14.11.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,ноябрь 2025,не позднее 27.11.2025,,12112025,061005412112025,12.12.2025,01.12.2025,16.12.2025,01.12.2025,09.12.2025,11.12.2025,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610054,Ц,ПВ,Приложение №2,декабрь 2025,26.12.2025,,12122025,061005412122025,21.01.2026,09.01.2026,26.01.2026,09.01.2026,18.01.2026,20.01.2026,"Билалова М.Г., т. 507, к. 429","Пузакова Марина Владимировна, т. 315, к. 307",
0610068,Ц,ПВ,№4-ТЭР,2024,не позднее 28.12.2024,с 20 января по 16 февраля после отчетного периода,01012024,061006801012024,16.02.2025,13.01.2025,17.03.2025,13.01.2025,12.02.2025,14.02.2025,"Новикова Ирина Алексеевна, т. 3-63, 607, к. 300","Пузакова Марина Владимировна, т. 315, к. 307",
0610086,С,ПВ,1-хо,2024,не позднее 28.12.2024,"с 1-го официального 
рабочего дня января 
по 27 января
",01012024,061008601012024,27.01.2025,09.01.2025,27.01.2025,09.01.2025,22.01.2025,24.01.2025,"Бикметов Игорь Ильгизович, т. 538, к. 438","Рублёва Наталья Адольфовна, т. 322, к. 307",
0610087,Ц,К,2-ХО,2024,не позднее 28.12.2024,с 14 по 25 января после отчетного периода,01012024,061008701012024,27.01.2025,13.01.2025,14.02.2025,13.01.2025,22.01.2025,24.01.2025,"Бычкова Анна Александровна, т. 626, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
